phrase,freq
will you accept this rose,143
bachelorette the men tell all,88
the bachelorette the men tell,86
the rest of my life,78
would you accept this rose,75
you know what i mean,66
at the end of the,58
you accept this rose absolutely,56
at the end of this,49
you accept this rose yes,47
welcome back to the bachelorette,47
to the bachelorette the men,46
i do know what to,45
i do know if i,44
rest of my life with,44
want you to know that,39
so nice to meet you,38
but at the same time,38
the end of the day,37
back to the bachelorette the,37
i do want you to,35
i want you to know,34
cheering welcome back to the,34
here for the right reasons,33
you accept this rose of,33
accept this rose of course,33
when the bachelorette the men,33
do know what to do,32
spend the rest of my,32
i just want you to,31
this is gon na be,31
i falling in love with,30
for the rest of my,30
thank you so much for,30
to be honest with you,29
you good to see you,29
how are you good how,29
bachelor or bachelorette go to,29
bachelorette go to and click,29
go to and click apply,29
to fall in love with,29
falling in love with you,29
you accept this rose i,28
final rose tonight when you,28
rose tonight when you ready,28
i do want to be,28
are you good how are,27
the final rose tonight when,27
and i do want to,27
oh my god this is,26
it gon na be a,26
you good how are you,26
it good to see you,26
the men tell all returns,26
men tell all returns cheering,26
and i feel like i,25
the next bachelor or bachelorette,25
wish you all the best,25
to get to know you,25
good how are you good,24
or bachelorette go to and,24
next week on the bachelorette,24
i wish you all the,24
good to see you again,24
i have a lot of,23
if you like to date,23
you like to date the,23
like to date the next,23
to date the next bachelor,23
date the next bachelor or,23
next bachelor or bachelorette go,23
the best and if you,23
best and if you ready,23
and if you ready here,23
cheering cheering welcome back to,23
you all the best and,22
all the best and if,22
at the same time i,22
good to see you you,21
i feel like i have,21
the bachelorette after the final,21
bachelorette after the final rose,21
i do know i do,20
accept this rose i will,20
nice to meet you too,20
nice to meet you i,20
you nice to meet you,20
very nice to meet you,20
it was gon na be,20
good how are you i,19
you know i feel like,19
gentlemen it the final rose,19
it the final rose tonight,19
take a moment say your,19
nice to meet you you,19
and i want you to,19
in love with you and,19
thank you so much i,19
it all coming up on,18
so good to see you,18
